City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
740,San-Pedro,CI,79.54,broken clouds,4.7485,-6.6363,
749,Dibulla,CO,80.1,broken clouds,11.2725,-73.3091,
758,Rudbar,AF,77.38,clear sky,30.15,62.6,
769,Mokolo,CM,84.18,overcast clouds,10.7398,13.8019,
774,Bosaso,SO,81.01,scattered clouds,11.2842,49.1816,
775,Kuntaur,GM,87.44,overcast clouds,13.6667,-14.8833,
781,Meulaboh,ID,77.74,overcast clouds,4.1363,96.1285,
782,Puerto Gaitan,CO,78.35,scattered clouds,4.3133,-72.0816,
792,Sao Raimundo Nonato,BR,75.45,broken clouds,-9.0153,-42.6994,
798,Marco,US,84.0,clear sky,25.9726,-81.729,
800,Waw,SS,77.67,overcast clouds,7.7029,27.9953,
808,Ndele,CF,76.6,broken clouds,8.4109,20.6473,
819,Trincomalee,LK,83.05,overcast clouds,8.5711,81.2335,
820,Nisia Floresta,BR,75.72,scattered clouds,-6.0911,-35.2086,
822,Goundam,ML,82.24,scattered clouds,16.4145,-3.6708,
823,Bonaberi,CM,78.26,moderate rain,4.0779,9.6759,
824,Pitimbu,BR,77.72,broken clouds,-7.4706,-34.8086,
829,Lobito,AO,76.39,clear sky,-12.3481,13.5456,
831,Manavalakurichi,IN,81.07,moderate rain,8.1333,77.3,
833,Bhadrapur,NP,76.19,broken clouds,26.544,88.0944,
834,Azua,DO,75.88,clear sky,18.4532,-70.7349,
841,High Rock,BS,75.16,broken clouds,26.6208,-78.2833,
842,Razam,IN,82.13,overcast clouds,18.4667,83.6667,
845,Cullman,US,76.1,clear sky,34.1748,-86.8436,
846,Yenagoa,NG,76.78,overcast clouds,4.9247,6.2642,
849,Aswan,EG,87.1,clear sky,24.0934,32.907,
857,Tabuk,PH,81.21,clear sky,17.4189,121.4443,
858,Kapoeta,SS,78.64,overcast clouds,4.7717,33.5903,
861,Tabou,CI,80.11,scattered clouds,4.423,-7.3528,
866,Dunmore Town,BS,76.03,scattered clouds,25.5,-76.65,
869,Loanda,AO,75.18,light rain,-8.8368,13.2343,
871,Changanacheri,IN,76.71,moderate rain,9.4667,76.55,
872,San Juan Nepomuceno,CO,79.81,overcast clouds,9.9516,-75.082,
873,Maragogi,BR,76.6,overcast clouds,-9.0122,-35.2225,
874,Riberalta,BO,75.34,overcast clouds,-10.9833,-66.1,
875,Pizarro,CO,80.4,light rain,4.9533,-77.366,
881,Agra,IN,87.89,clear sky,27.1833,78.0167,
884,Harindanga,IN,81.77,overcast clouds,22.0383,88.3214,
890,Bela,IN,88.34,scattered clouds,25.9333,81.9833,
898,Lagos,NG,77.32,light rain,6.5833,3.75,
899,Abonnema,NG,78.55,broken clouds,4.7084,6.7931,
903,Gorakhpur,IN,87.67,clear sky,29.45,75.6833,
905,Barcarena,BR,75.56,moderate rain,-1.5058,-48.6258,
927,El Penon,CO,80.22,overcast clouds,8.9892,-73.9486,
935,Bhadrachalam,IN,86.99,overcast clouds,17.6667,80.8833,
938,Jibuti,DJ,80.44,few clouds,11.5,42.5,
942,Beberibe,BR,79.92,overcast clouds,-4.1797,-38.1306,
948,Mancio Lima,BR,76.55,broken clouds,-7.6142,-72.8958,
950,Narasannapeta,IN,81.63,broken clouds,18.4167,84.05,
953,Koungou,YT,80.31,broken clouds,-12.7336,45.2042,
954,Bajil,YE,85.68,clear sky,15.0584,43.2851,
958,Venadillo,CO,77.11,light rain,4.7193,-74.9292,
959,Tikamgarh,IN,85.33,clear sky,24.745,78.8333,
961,Datia,IN,87.71,clear sky,25.6667,78.4667,
